cnpj,identificador_conta,parceiro,cod_natureza,desc_natureza,cr,contrato
02.558.157/0001-62,432892312,Telefônica Brasil S/A,141401011,Internet,1103,0
02.558.157/0001-62,899953065485,Telefônica Brasil S/A,141401011,Internet,103,0
02.558.157/0001-62,432151557,Telefônica Brasil S/A,141401011,Internet,103,0
02.558.157/0001-62,424425163,Telefônica Brasil S/A,141401011,Internet,103,0
02.558.157/0001-62,424425160,Telefônica Brasil S/A,141401011,Internet,103,0
02.558.157/0001-62,432071674,Telefônica Brasil S/A,141401011,Internet,103,0
02.558.157/0009-10,699995715079,Telefônica Brasil S/A,141401010,Telefone,103,0
02.558.157/0001-62,434283371,Telefônica Brasil S/A,141401011,Internet,301,0
02.558.157/0001-62,432724255,Telefônica Brasil S/A,141401011,Internet,1103,0
15.754.475/0001-40,DEFAULT,HostGator Brasil LTDA,141401011,Hospedagem,103,0
27.770.739/0002-10,DEFAULT,Mundivox Networks Ltda.,141401011,Internet,103,0
10.521.620/0002-00,DEFAULT,SAIPH COMERCIO DE INFORMATICA LTDA,141401011,Locação,103,0
11.603.140/0001-70,DEFAULT,MAGNA SERVICOS DE MANUTENCAO EM INFORMATICA LTDA,141401011,Locação de bens móveis,103,LOC 000117/2022
11.603.140/0003-32,DEFAULT,MAGNA SERVICOS DE MANUTENCAO EM INFORMATICA LTDA,141401011,Locação de bens móveis,103,LOC 000117/2022

